cohort_month,channel,cac,ltv,ltv_ratio,payback_month
2023-01,direct,35,125296.3,125296.3,
2023-01,organic,20,192627.55,192627.55,
2023-01,paid_search,45,124046.7,124046.7,
2023-01,paid_social,70,51938.62,51938.62,
2023-01,referral,25,87282.81,87282.81,
2023-03,direct,35,62161.56,62161.56,
2023-03,organic,20,95410.52,95410.52,
2023-03,paid_search,45,61625.42,61625.42,
2023-03,paid_social,70,25814.53,25814.53,
2023-03,referral,25,43259.91,43259.91,
2023-04,direct,35,61764.14,61764.14,
2023-04,organic,20,94680.82,94680.82,
2023-04,paid_search,45,61298.94,61298.94,
2023-04,paid_social,70,25688.85,25688.85,
2023-04,referral,25,42951.54,42951.54,
2023-05,direct,35,122064.17,122064.17,
2023-05,organic,20,186702.33,186702.33,
2023-05,paid_search,45,121384.71,121384.71,
2023-05,paid_social,70,50911.71,50911.71,
2023-05,referral,25,84772.89,84772.89,
2023-06,direct,35,60132.59,60132.59,
2023-06,organic,20,91742.0,91742.0,
2023-06,paid_search,45,59944.93,59944.93,
2023-06,paid_social,70,25167.67,25167.67,
2023-06,referral,25,41698.34,41698.34,
2023-07,direct,35,59399.38,59399.38,
2023-07,organic,20,90448.1,90448.1,
2023-07,paid_search,45,59330.82,59330.82,
2023-07,paid_social,70,24930.26,24930.26,
2023-07,referral,25,41141.6,41141.6,
2023-08,direct,35,58548.45,58548.45,
2023-08,organic,20,88956.25,88956.25,
2023-08,paid_search,45,58610.03,58610.03,
2023-08,paid_social,70,24652.78,24652.78,
2023-08,referral,25,40498.73,40498.73,
2023-09,direct,35,57559.52,57559.52,
2023-09,organic,20,87239.81,87239.81,
2023-09,paid_search,45,57767.37,57767.37,
2023-09,paid_social,70,24329.6,24329.6,
2023-09,referral,25,39754.7,39754.7,
2023-10,direct,35,56409.03,56409.03,
2023-10,organic,20,85268.77,85268.77,
2023-10,paid_search,45,56777.25,56777.25,
2023-10,paid_social,70,23950.41,23950.41,
2023-10,referral,25,38895.71,38895.71,
2023-11,direct,35,55074.54,55074.54,
2023-11,organic,20,83005.05,83005.05,
2023-11,paid_search,45,55618.59,55618.59,
2023-11,paid_social,70,23502.87,23502.87,
2023-11,referral,25,37902.16,37902.16,
2023-12,direct,35,53525.36,53525.36,
2023-12,organic,20,80405.02,80405.02,
2023-12,paid_search,45,54257.4,54257.4,
2023-12,paid_social,70,22977.13,22977.13,
2023-12,referral,25,36760.19,36760.19,
2024-01,direct,35,51725.93,51725.93,
2024-01,organic,20,77424.07,77424.07,
2024-01,paid_search,45,52664.75,52664.75,
2024-01,paid_social,70,22356.76,22356.76,
2024-01,referral,25,35445.14,35445.14,
2024-02,direct,35,49641.68,49641.68,
2024-02,organic,20,74012.01,74012.01,
2024-02,paid_search,45,50795.64,50795.64,
2024-02,paid_social,70,21628.08,21628.08,
2024-02,referral,25,33928.41,33928.41,
2024-03,direct,35,47226.44,47226.44,
2024-03,organic,20,70112.43,70112.43,
2024-03,paid_search,45,48597.12,48597.12,
2024-03,paid_social,70,20769.28,20769.28,
2024-03,referral,25,32188.76,32188.76,
2024-04,direct,35,44434.86,44434.86,
2024-04,organic,20,65654.95,65654.95,
2024-04,paid_search,45,46014.53,46014.53,
2024-04,paid_social,70,19754.63,19754.63,
2024-04,referral,25,30190.24,30190.24,
2024-05,direct,35,41207.1,41207.1,
2024-05,organic,20,60574.69,60574.69,
2024-05,paid_search,45,42984.85,42984.85,
2024-05,paid_social,70,18553.84,18553.84,
2024-05,referral,25,27898.48,27898.48,
2024-06,direct,35,37474.23,37474.23,
2024-06,organic,20,54783.19,54783.19,
2024-06,paid_search,45,39426.4,39426.4,
2024-06,paid_social,70,17131.37,17131.37,
2024-06,referral,25,25282.71,25282.71,
2024-07,direct,35,33167.52,33167.52,
2024-07,organic,20,48198.32,48198.32,
2024-07,paid_search,45,35243.88,35243.88,
2024-07,paid_social,70,15436.25,15436.25,
2024-07,referral,25,22292.35,22292.35,
2024-08,direct,35,28209.53,28209.53,
2024-08,organic,20,40729.56,40729.56,
2024-08,paid_search,45,30315.25,30315.25,
2024-08,paid_social,70,13407.7,13407.7,
2024-08,referral,25,18878.65,18878.65,
2024-09,direct,35,22513.06,22513.06,
2024-09,organic,20,32277.27,32277.27,
2024-09,paid_search,45,24509.09,24509.09,
2024-09,paid_social,70,10984.71,10984.71,
2024-09,referral,25,14997.36,14997.36,
2024-10,direct,35,15980.0,15980.0,
2024-10,organic,20,22731.82,22731.82,
2024-10,paid_search,45,17672.73,17672.73,
2024-10,paid_social,70,8059.09,8059.09,
2024-10,referral,25,10589.09,10589.09,
2024-11,direct,35,8500.0,8500.0,
2024-11,organic,20,12000.0,12000.0,
2024-11,paid_search,45,9600.0,9600.0,
2024-11,paid_social,70,4500.0,4500.0,
2024-11,referral,25,5600.0,5600.0,
