cohort_month,cohort_date,channel,cac,arpu,weibull_shape,weibull_scale,months_since_signup,cohort_size,active_users,retention_rate,monthly_revenue
2023-01,2023-01-01,organic,20,15,1.3,25,0,800,800,1.0,12000
2023-01,2023-01-01,organic,20,15,1.3,25,1,800,787,0.9848861467863002,11805
2023-01,2023-01-01,organic,20,15,1.3,25,2,800,770,0.963195605739541,11550
2023-01,2023-01-01,organic,20,15,1.3,25,3,800,750,0.9384519005412955,11250
2023-01,2023-01-01,organic,20,15,1.3,25,4,800,729,0.9118016569470183,10935
2023-01,2023-01-01,organic,20,15,1.3,25,5,800,707,0.8839040415281724,10605
2023-01,2023-01-01,organic,20,15,1.3,25,6,800,684,0.8552053727162591,10260
2023-01,2023-01-01,organic,20,15,1.3,25,7,800,660,0.8260337111920216,9900
2023-01,2023-01-01,organic,20,15,1.3,25,8,800,637,0.7966419032859896,9555
2023-01,2023-01-01,organic,20,15,1.3,25,9,800,613,0.7672305836554576,9195
2023-01,2023-01-01,organic,20,15,1.3,25,10,800,590,0.737961873844892,8850
2023-01,2023-01-01,organic,20,15,1.3,25,11,800,567,0.7089682127250599,8505
2023-01,2023-01-01,organic,20,15,1.3,25,12,800,544,0.6803584070749459,8160
2023-01,2023-01-01,organic,20,15,1.3,25,13,800,521,0.652221983898605,7815
2023-01,2023-01-01,organic,20,15,1.3,25,14,800,499,0.6246324474034769,7485
2023-01,2023-01-01,organic,20,15,1.3,25,15,800,478,0.597649797033128,7170
2023-01,2023-01-01,organic,20,15,1.3,25,16,800,457,0.5713225275988293,6855
2023-01,2023-01-01,organic,20,15,1.3,25,17,800,436,0.5456892542537867,6540
2023-01,2023-01-01,organic,20,15,1.3,25,18,800,416,0.5207800577294067,6240
2023-01,2023-01-01,organic,20,15,1.3,25,19,800,397,0.4966176155662938,5955
2023-01,2023-01-01,organic,20,15,1.3,25,20,800,378,0.47321816584357185,5670
2023-01,2023-01-01,organic,20,15,1.3,25,21,800,360,0.4505923371015189,5400
2023-01,2023-01-01,organic,20,15,1.3,25,22,800,342,0.42874586940756754,5130
2023-01,2023-01-01,organic,20,15,1.3,25,23,800,326,0.4076802454124318,4890
2023-01,2023-01-01,referral,25,14,1.25,23,0,400,400,1.0,5600
2023-01,2023-01-01,referral,25,14,1.25,23,1,400,392,0.9803421428919283,5488
2023-01,2023-01-01,referral,25,14,1.25,23,2,400,381,0.9538773433932785,5334
2023-01,2023-01-01,referral,25,14,1.25,23,3,400,369,0.9246069134312649,5166
2023-01,2023-01-01,referral,25,14,1.25,23,4,400,357,0.8937678940042687,4998
2023-01,2023-01-01,referral,25,14,1.25,23,5,400,344,0.8620512087542963,4816
2023-01,2023-01-01,referral,25,14,1.25,23,6,400,331,0.829911855789255,4634
2023-01,2023-01-01,referral,25,14,1.25,23,7,400,319,0.7976747940534463,4466
2023-01,2023-01-01,referral,25,14,1.25,23,8,400,306,0.7655829466320458,4284
2023-01,2023-01-01,referral,25,14,1.25,23,9,400,293,0.7338228244065563,4102
2023-01,2023-01-01,referral,25,14,1.25,23,10,400,281,0.7025397871236816,3934
2023-01,2023-01-01,referral,25,14,1.25,23,11,400,268,0.671847885506488,3752
